ENTRY,DELTAG,UNCERTAINTY,REASON ENERGY COULD NOT BE ESTIMATED
R00001,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R00608,-25.2697,1,
R00609,Not calculated,Not calculated,Involves unknown structures
R00610,-19.0327,1.36393,
R00611,Not calculated,Not calculated,Involves unknown structures
R00612,-19.0327,1.36393,
R00614,-16.243,1.32288,
R00615,-6.817,0.717554,
R00616,0,2,
R00617,0,2,
R00618,-6.817,0.717554,
R00619,-4.5,0.23673,
R00621,-6.87,0.764453,
R00622,9.89,0.764604,
R00623,5.22,1.06983,
R00624,3.76,1.07969,
R00625,5.22,1.06983,
R00626,-2.317,0.735634,
R00627,-3.614,1.17862,
R00628,-3.683,0.840143,
R00629,-4.5,0.23673,
R00630,-2.143,0.675486,
R00631,-9.803,1.17612,
R00632,Not calculated,Not calculated,Involves unknown structures
R00634,Not calculated,Not calculated,Involves unknown structures
R00635,-41.5127,0.888379,
R00636,-4.09,0.595908,
R00637,-26.4897,0.741944,
R00638,Not calculated,Not calculated,Involves unknown structures
R00639,Not calculated,Not calculated,Involves unknown structures
R00640,Not calculated,Not calculated,Involves unknown structures
R00642,-74.624,1.78746,
R00643,-24.6297,1.46855,
R00644,-74.624,1.78746,
R00645,0,2,
R00646,-128.203,1.70467,
R00647,-4.78,1.25939,
R00648,-23.0227,1.06194,
R00649,0,2,
R00650,-13.146,2.60718,
R00651,-9.356,1.17986,
R00652,-1.46,0.300689,
R00653,0.737,0.975521,
R00654,-1.837,1.26467,
R00655,0,2,
R00656,-3.09,0.5417,
R00657,Not calculated,Not calculated,Involves unknown structures
R00658,-0.867,0.779214,
R00659,4.61,0.654305,
R00660,0.796,0.676477,
R00661,-5.87,0.776311,
R00662,-8.243,0.748021,
R00664,-10.588,2.51994,
R00665,2.727,1.29616,
R00666,9.207,1.51055,
R00667,-1,0.351998,
R00668,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00669,-2.003,0.984391,
R00670,-3.09,0.5417,
R00671,-5.38,1.17269,
R00672,0,2,
R00673,4.437,0.929622,
R00674,-11.947,0.694816,
R00675,8.687,1.31216,
R00676,8.687,1.31216,
R00677,-23.0227,1.06194,
R00678,-92.0997,1.79826,
R00679,-109.257,1.04269,
R00681,-89.7897,0.922615,
R00682,-4.723,0.88056,
